Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,C,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,212.975,-129.775,0.0,top
C10,C,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,204.615,-121.48,0.0,top
C11,4.7u,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,182.525,-61.775,180.0,top
C12,4.7u,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,182.525,-55.275,180.0,top
C13,0.1u,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,182.525,-57.275,180.0,top
C14,22u,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,177.0625,-67.32025,0.0,top
C15,10u,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,184.0625,-67.32025,180.0,top
C2,C,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,169.475,-56.275,-90.0,top
C3,C,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,200.475,-60.775,180.0,top
C4,C,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,212.3375,-59.775,180.0,top
C5,0.1u,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,198.425,-74.255,0.0,top
C6,0.1u,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,177.9,-63.35,0.0,bottom
C9,C_Polarized,CP_Radial_D6.3mm_P2.50mm,154.0,-108.25,90.0,top
D1,LED,LED_D3.0mm,168.375,-89.28,90.0,top
D2,LED,LED_D3.0mm,179.5,-89.28,90.0,top
D3,LED,LED_D3.0mm,174.0,-89.28,90.0,top
J1,Conn_01x06,JST_XH_S6B-XH-A-1_1x06_P2.50mm_Horizontal,167.25,-131.5,180.0,bottom
J2,Conn_01x06,JST_XH_S6B-XH-A-1_1x06_P2.50mm_Horizontal,148.25,-131.5,180.0,bottom
J3,Conn_02x08_Counter_Clockwise,SOP-16_4.4x10.4mm_P1.27mm,176.025,-59.275,0.0,top
J4,Conn_01x02,JST_PH_B2B-PH-K_1x02_P2.00mm_Vertical,186.475,-57.275,90.0,top
J5,Conn_01x02,AMASS_XT30U-M_1x02_P5.0mm_Vertical,169.0,-79.5,90.0,bottom
J6,Conn_01x04,PinHeader_1x04_P2.54mm_Horizontal,91.465,-127.9,-90.0,top
J7,Conn_01x02,PinHeader_1x02_P2.54mm_Vertical,220.975,-129.28,180.0,top
M1,Motor_Servo,JST_XH_B3B-XH-A_1x03_P2.50mm_Vertical,147.325,-116.275,-90.0,top
MD1,OKL-T_6-W12N-C,MURATA_OKL-T-6-W12N-C_0,179.475,-76.900125,0.0,top
Q1,Q_NMOS_GDS,TO-252-3_TabPin2,189.95,-129.85,-90.0,top
R1,R,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,200.975,-85.775,-90.0,top
R10,120,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,186.0625,-85.32025,0.0,top
R11,1.2k,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,185.975,-88.775,0.0,top
R12,200,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,158.475,-85.275,180.0,top
R13,1k,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,156.4,-94.0,0.0,top
R14,47k,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,184.475,-99.775,0.0,top
R15,10k,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,184.3875,-97.275,180.0,top
R2,R,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,187.475,-122.775,180.0,top
R3,R,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,191.475,-122.775,180.0,top
R4,R,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,211.975,-126.275,0.0,top
R6,R,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,211.475,-85.775,-90.0,top
R7,100k,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,182.525,-64.275,0.0,top
R8,4.7R,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,182.525,-59.775,0.0,top
R9,R,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,217.475,-128.01,180.0,top
SW1,SW_SPDT,SW_Slide-03_Wuerth-WS-SLTV_10x2.5x6.4_P2.54mm,213.435,-122.775,0.0,top
SW2,SW_Push,SW_PUSH_6mm_H7.3mm,202.5,-127.5,180.0,top
U1,Bno055,Bno055,207.675,-124.775,90.0,bottom
U10,Separation,JST_XH_S2B-XH-A_1x02_P2.50mm_Horizontal,180.975,-125.825,0.0,top
U11,RASPBERRY_PI_4B_4GB,Raspberry_Pi_Zero_Socketed_THT_FaceDown_MountingHoles,208.3725,-87.63,180.0,top
U12,~,motor,175.43,-106.65,-90.0,top
U2,BMP180,PinHeader_1x04_P2.54mm_Vertical,165.975,-59.505,0.0,top
U3,Lora,LoRa,206.25,-72.87,270.0,bottom
U4,CH340N,SOP-8_3.9x4.9mm_P1.27mm,200.475,-69.775,0.0,top
U5,CH340N,SOP-8_3.9x4.9mm_P1.27mm,175.85,-58.87,0.0,bottom
U6,GPS,GPS,207.935,-56.275,0.0,top
U7,ITR9608-F,PinHeader_2x02_P2.54mm_Vertical,158.7825,-89.605,0.0,top
