Designator,Footprint,Quantity,Value,LCSC Part #
10K1,0603,1,R,
"C1, C10, C11, C13, C2, C3, C4",0603,7,0.1u,
C12,0603,1,4.7u,
C9,CP_Radial_D6.3mm_P2.50mm,1,C_Polarized,
"J1, J2",JST_XH_S6B-XH-A-1_1x06_P2.50mm_Horizontal,2,Conn_01x06,
"J11, J12, J3",JST_PH_B2B-PH-K_1x02_P2.00mm_Vertical,3,Conn_01x02_Pin,
J13,AMASS_XT30U-M_1x02_P5.0mm_Vertical,1,Conn_01x02,
"J4, J5",JST_ZH_B6B-ZR_1x06_P1.50mm_Horizontal,2,Conn_01x06,
J7,PinHeader_1x02_P2.54mm_Vertical,1,Conn_01x02,
J8,JST_PH_B3B-PH-K_1x03_P2.00mm_Vertical,1,Conn_01x03_Pin,
"Q1, Q2",TO-252-3_TabPin2,2,Q_NMOS_GDS,
"R1, R12, R13, R2, R3, R4, R6, R9",0603,8,10k,
"R10, R11",0603,2,4.7k,
R5,0603,1,1k,
SW1,SW_Slide-03_Wuerth-WS-SLTV_10x2.5x6.4_P2.54mm,1,SW_SPDT,
SW2,SW_PUSH_6mm_H7.3mm,1,SW_Push,
U1,Bno055,1,Bno055,
U10,OKL,1,~,
U11,raspberrypi,1,RASPBERRY_PI_4B_4GB,
U12,motor,1,~,
U2,PinHeader_1x04_P2.54mm_Vertical,1,BMP180,
U3,LoRa,1,Lora,
U6,GPS,1,GPS,
U9,DIP-8_W7.62mm,1,MCP3002,
