Designator,Mid X,Mid Y,Rotation,Layer
10K1,157.5,-39.5875,270.0,bottom
C1,81.1375,-94.0,0.0,bottom
C10,140.0,-43.0,90.0,bottom
C11,127.5,-47.0,180.0,bottom
C12,85.0,-51.8625,90.0,bottom
C13,91.5,-51.8625,90.0,bottom
C2,180.5,-73.5,90.0,top
C3,206.0,-58.0,0.0,top
C4,189.0,-35.8625,270.0,top
C9,163.5,-36.25,270.0,bottom
J1,109.75,-36.65,0.0,bottom
J11,198.5,-105.5,0.0,top
J12,174.5,-55.0,270.0,top
J13,206.0,-96.5,270.0,bottom
J2,176.75,-37.0,0.0,bottom
J3,174.0,-111.5,270.0,top
J4,106.25,-99.0,0.0,bottom
J5,200.75,-112.0,0.0,bottom
J7,205.5,-105.27,0.0,top
J8,116.5,-100.5,90.0,bottom
Q1,184.72,-112.04,270.0,top
Q2,178.065,-64.975,0.0,top
R1,201.5,-58.0,180.0,bottom
R10,108.0,-92.9125,90.0,bottom
R11,103.0,-92.9125,90.0,bottom
R12,175.0,-71.5,270.0,top
R13,178.5,-71.5,270.0,top
R2,179.0,-113.675,270.0,top
R3,179.0,-108.5875,90.0,top
R4,132.5,-47.0,0.0,bottom
R5,188.4125,-101.0,0.0,bottom
R6,186.0,-58.9125,270.0,bottom
R9,190.5,-91.0,0.0,bottom
SW1,154.04,-35.0,0.0,bottom
SW2,143.25,-37.25,0.0,bottom
U1,84.3,-107.0,270.0,bottom
U10,196.5,-52.0,90.0,top
U11,73.0354,-65.63,0.0,top
U12,186.03,-89.43,270.0,top
U2,186.5,-70.73,180.0,top
U3,197.405,-47.12,0.0,bottom
U6,199.42,-36.0,180.0,top
U9,132.605,-38.355,0.0,bottom
