Comment,Designator,Footprint,LCSC,Quantity
47k,R14,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,,1
SW_SPDT,SW1,SW_Slide-03_Wuerth-WS-SLTV_10x2.5x6.4_P2.54mm,,1
200,R12,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,,1
ITR9608-F,U7,PinHeader_2x02_P2.54mm_Vertical,,1
LED,D3,LED_D3.0mm,,1
0.1u,C5,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,,1
R,R3,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,,1
LED,D2,LED_D3.0mm,,1
Separation,U10,JST_XH_S2B-XH-A_1x02_P2.50mm_Horizontal,,1
SW_Push,SW2,SW_PUSH_6mm_H7.3mm,,1
4.7R,R8,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,,1
Conn_01x02,J4,JST_PH_B2B-PH-K_1x02_P2.00mm_Vertical,,1
1.2k,R11,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,,1
R,R1,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,,1
4.7u,C11,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,,1
Conn_01x04,J6,PinHeader_1x04_P2.54mm_Horizontal,,1
10u,C15,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,,1
C,C3,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,,1
RASPBERRY_PI_4B_4GB,U11,Raspberry_Pi_Zero_Socketed_THT_FaceDown_MountingHoles,,1
4.7u,C12,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,,1
C,C4,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,,1
1k,R13,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,,1
Conn_02x08_Counter_Clockwise,J3,SOP-16_4.4x10.4mm_P1.27mm,,1
BMP180,U2,PinHeader_1x04_P2.54mm_Vertical,,1
Q_NMOS_GDS,Q1,TO-252-3_TabPin2,,1
10k,R15,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,,1
120,R10,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,,1
R,R6,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,,1
R,R2,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,,1
22u,C14,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,,1
100k,R7,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,,1
R,R9,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,,1
R,R4,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,,1
OKL-T_6-W12N-C,MD1,MURATA_OKL-T-6-W12N-C_0,,1
C,C2,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,,1
GPS,U6,GPS,,1
C,C10,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,,1
C,C1,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,,1
CH340N,U4,SOP-8_3.9x4.9mm_P1.27mm,,1
LED,D1,LED_D3.0mm,,1
C_Polarized,C9,CP_Radial_D6.3mm_P2.50mm,,1
Conn_01x02,J7,PinHeader_1x02_P2.54mm_Vertical,,1
0.1u,C13,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,,1
Motor_Servo,M1,JST_XH_B3B-XH-A_1x03_P2.50mm_Vertical,,1
~,U12,motor,,1
Conn_01x06,J1,JST_XH_S6B-XH-A-1_1x06_P2.50mm_Horizontal,,1
Conn_01x06,J2,JST_XH_S6B-XH-A-1_1x06_P2.50mm_Horizontal,,1
CH340N,U5,SOP-8_3.9x4.9mm_P1.27mm,,1
0.1u,C6,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,,1
Bno055,U1,Bno055,,1
Lora,U3,LoRa,,1
Conn_01x02,J5,AMASS_XT30U-M_1x02_P5.0mm_Vertical,,1
